BarChartType,ModelName,SamplingTarget,SamplingMethod,DownSamplingLevel,RunIndex,MeanError
1,VGG19,Height,COV,2,4,0.011093973
1,VGG19,Height,COV,4,0,0.011765270500000001
1,VGG19,Height,COV,4,1,0.013025633500000001
1,VGG19,Height,COV,4,2,0.017597342499999998
1,VGG19,Height,COV,4,3,0.015813986499999995
1,VGG19,Height,COV,4,4,0.015609717
1,VGG19,Height,COV,8,0,0.026323754
1,VGG19,Height,COV,8,1,0.034353335500000005
1,VGG19,Height,COV,8,2,0.030359193
1,VGG19,Height,COV,8,3,0.026526746999999993
1,VGG19,Height,COV,8,4,0.019237401999999997
1,VGG19,Height,COV,16,0,0.0427102085
1,VGG19,Height,COV,16,1,0.045254881000000004
1,VGG19,Height,COV,16,2,0.042462024
1,VGG19,Height,COV,16,3,0.055540952500000004
1,VGG19,Height,COV,16,4,0.0436364575
1,VGG19,Height,ADV,2,0,0.018454948
1,VGG19,Height,ADV,2,1,0.0238761975
1,VGG19,Height,ADV,2,2,0.0899827515
1,VGG19,Height,ADV,2,3,0.016688860999999996
1,VGG19,Height,ADV,2,4,0.013572583999999997
1,VGG19,Height,ADV,4,0,0.02741893
1,VGG19,Height,ADV,4,1,0.0860971705
1,VGG19,Height,ADV,4,2,0.10419022850000001
1,VGG19,Height,ADV,4,3,0.0401940805
1,VGG19,Height,ADV,4,4,0.051011074000000003
1,VGG19,Height,ADV,8,0,0.0633736085
1,VGG19,Height,ADV,8,1,0.229154423
1,VGG19,Height,ADV,8,2,0.2072246505
1,VGG19,Height,ADV,8,3,0.2830677325
1,VGG19,Height,ADV,8,4,0.075401097
1,VGG19,Height,ADV,16,0,0.075870101
1,VGG19,Height,ADV,16,1,0.253424208
1,VGG19,Height,ADV,16,2,0.129710365
1,VGG19,Height,ADV,16,3,0.29588825750000003
1,VGG19,Height,ADV,16,4,0.21950313849999997
1,VGG19,Height,OOD,2,0,0.040073435
1,VGG19,Height,OOD,2,1,0.06635286700000001
1,VGG19,Height,OOD,2,2,0.038864851
1,VGG19,Height,OOD,2,3,0.032855568
1,VGG19,Height,OOD,2,4,0.08598339599999999
1,VGG19,Height,OOD,4,0,0.120164139
1,VGG19,Height,OOD,4,1,0.131100251
1,VGG19,Height,OOD,4,2,0.0666034885
1,VGG19,Height,OOD,4,3,0.10611444549999999
1,VGG19,Height,OOD,4,4,0.16409749299999998
